Fecha;Plato1;Plato2;Postre;Pan
2023-11-24;Garbanzos;Merluza fresca a la romana con ensalada de pasta ecologica;Fruta;Pan Normal
2023-11-25;P1 Garbanzos de Prueba test;P2 Merluza de Prueba con ensalada de Prueba;P3 Fruta;P4 Pan de Prueba
2023-11-26;P1 Garbanzos de Prueba test;P2 Merluza de Prueba con ensalada de Prueba;P3 Fruta;P4 Pan  de Prueba
2023-11-27;Patatas en salsa verde;Huevos gratinados;Fruta;Pan Normal
2023-11-28;Sopa de ave y cocido con fideo;Escalope de cerdo a lpa milanesa con ensalada cesar;Yogur;Pan Normal
2023-11-29;Arroz con tomate;Guisado de ternera con verduras;Fruta;Pan Integral
2023-11-30;Lentejas a la castellana;Filete de merluza a la romana con tomate fresco;Fruta;Pan Normal
