Fecha;Plato1;Plato2;Postre;Pan
2023-11-24;Porrusalda*;Merluza fresca a la romana con lechuga*;Fruta;Pan
2023-11-25;P1 Garbanzos de Prueba test*;P2 Merluza de Prueba con ensalada de Prueba;P3 Fruta;P4 Pan de Prueba
2023-11-26;P1 Garbanzos de Prueba test*;P2 Merluza de Prueba con ensalada de Prueba;P3 Fruta;P4 Pan  de Prueba
2023-11-27;Pure de calabacín*;Huevos cocidos con tomate*;Fruta;Pan
2023-11-28;Porrusalda*;Escalope de cerdo a lpa milanesa con ensalada cesar;Yogur;Pan
2023-11-29;Arroz con tomate;Guisado de ternera con verduras;Fruta;Pan Integral
2023-11-30;Borrjas con Patatas*;Filete de merluza a la romana con tomate fresco;Fruta;Pan
